"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"CA",2015,0,6103,223.5,35584382
"CA",2015,1,417,75.75,2659373.5
"CA",2015,2,394,120,2437466.25
"CA",2015,3,510,57.25,2448658.75
"CA",2015,4,583,53.5,2113243.25
"CA",2015,5,674,53,2228536
"CA",2015,6,857,67.5,3005435.75
"CA",2015,7,611,80.5,3639863.75
"CA",2015,8,412,174,2918958
"CA",2015,9,431,158,4037636.75
"CA",2015,10,402,223.5,3834203.25
"CA",2015,11,396,211.75,4094659.75
"CA",2015,12,416,58,2166347
"CA",2016,0,5395,94,27205879.25
"CA",2016,1,432,76.75,3141638.5
"CA",2016,2,387,72.25,2236140
"CA",2016,3,405,69.5,2846877
"CA",2016,4,494,46,2356203.75
"CA",2016,5,446,66.25,1780095.5
"CA",2016,6,487,70.5,2169925.5
"CA",2016,7,484,94,2085134
"CA",2016,8,521,74,2078979.5
"CA",2016,9,501,71.5,2080104.5
"CA",2016,10,428,81.75,2433940.5
"CA",2016,11,422,46.25,1908953.25
"CA",2016,12,388,67.25,2087887.25
"CA",2017,0,4917,177.75,31298962.25
"CA",2017,1,416,118.5,3309496.75
"CA",2017,2,373,44.75,1979550.5
"CA",2017,3,428,58.75,2070134.75
"CA",2017,4,350,95.25,2223643.25
"CA",2017,5,480,43,2258176.5
"CA",2017,6,503,101.5,2629557.75
"CA",2017,7,481,100.25,2986036.75
"CA",2017,8,478,177.75,4710036.75
"CA",2017,9,483,95.75,2347529.5
"CA",2017,10,434,81,2464539.75
"CA",2017,11,140,30,491034.75
"CA",2017,12,351,119,3829225.25
"CA",2018,0,9512,244,53215419.25
"CA",2018,1,525,67,2153168.75
"CA",2018,2,459,27.25,1693922.5
"CA",2018,3,642,47.25,2004368.75
"CA",2018,4,588,63,2105943.5
"CA",2018,5,591,35.25,1777819.75
"CA",2018,6,1144,67,3019275
"CA",2018,7,1186,61,5690344.5
"CA",2018,8,941,244,3847910
"CA",2018,9,858,78,2788147.5
"CA",2018,10,910,108.5,6377446.75
"CA",2018,11,829,209.75,15973796
"CA",2018,12,839,171.5,5783276.25
"CA",2019,0,15078,168.5,143056319.5
"CA",2019,1,1136,71.5,4822527.25
"CA",2019,2,1226,145.25,11619141.5
"CA",2019,3,1019,51,3353582
"CA",2019,4,985,70.5,3257818.5
"CA",2019,5,1172,35.25,3090754
"CA",2019,6,1164,64.5,4072228.25
"CA",2019,7,1341,45.75,3254271.75
"CA",2019,8,1271,62,3559086.75
"CA",2019,9,1082,68.5,5192012
"CA",2019,10,2599,91.5,88045909.75
"CA",2019,11,1048,168.5,7883401
"CA",2019,12,1035,164.25,4905586.75
"CA",2020,0,14148,426,91557020
"CA",2020,1,903,92.25,3656280
"CA",2020,2,989,56.5,4734308.5
"CA",2020,3,945,243.5,5489893.75
"CA",2020,4,878,30,1904462.5
"CA",2020,5,1058,246.5,3429888
"CA",2020,6,1159,174.5,3467807
"CA",2020,7,1137,98,3624200.75
"CA",2020,8,1296,266.25,13307458.5
"CA",2020,9,1193,297.25,19060583.25
"CA",2020,10,1621,186.25,22327996
"CA",2020,11,1334,426,4303229.75
"CA",2020,12,1635,189.75,6250912
"CA",2021,0,13411,570.5,96672991.75
"CA",2021,1,1277,149.25,20762120.25
"CA",2021,2,896,97.75,3258194.5
"CA",2021,3,1070,169.5,3876508.25
"CA",2021,4,936,147,4044839.5
"CA",2021,5,1092,45.5,3354936.25
"CA",2021,6,1059,93.75,4840699.25
"CA",2021,7,1046,570.5,6213566
"CA",2021,8,1271,146.75,10663937.5
"CA",2021,9,1164,235.25,7928480.25
"CA",2021,10,1493,145.75,12711210
"CA",2021,11,931,160.75,4136463.5
"CA",2021,12,1176,151.5,14882036.5
"CA",2022,0,14464,609.75,69198496
"CA",2022,1,961,137.25,10341673
"CA",2022,2,908,130.75,3058596
"CA",2022,3,1213,43.25,3866586
"CA",2022,4,1185,68,3854406.5
"CA",2022,5,1249,48,4432489
"CA",2022,6,1460,95,6528050.25
"CA",2022,7,1258,325.5,6222798.5
"CA",2022,8,1498,287.25,7639201.25
"CA",2022,9,1453,131,7515277.5
"CA",2022,10,1195,72.5,4035117.25
"CA",2022,11,1023,266.75,4840454.5
"CA",2022,12,1061,609.75,6863846.25
"CA",2023,0,14231,332.75,116538975.5
"CA",2023,1,1365,183.25,30585359.75
"CA",2023,2,1059,253,21244801.5
"CA",2023,3,1395,214.25,21595938.75
"CA",2023,4,1076,152.5,3523736.25
"CA",2023,5,1107,44,3178588.75
"CA",2023,6,1235,47.25,3899496.75
"CA",2023,7,1275,314.5,5973160.75
"CA",2023,8,1423,177.5,8183474.5
"CA",2023,9,1177,192.5,5198916.75
"CA",2023,10,1107,332.75,5585738.25
"CA",2023,11,1062,119.75,4480872
"CA",2023,12,950,117.75,3088891.5
