"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"TX",2015,0,8972,98.5,21915409.5
"TX",2015,1,1388,98.5,3688543.25
"TX",2015,2,606,29.75,782079
"TX",2015,3,520,36.25,582798
"TX",2015,4,1248,51.25,4084173.5
"TX",2015,5,1641,48.5,6773505.75
"TX",2015,6,1206,22.75,2190494.75
"TX",2015,7,883,26.75,1175535
"TX",2015,8,400,23.25,701567.25
"TX",2015,9,187,9.25,214613.25
"TX",2015,10,299,33.25,548777.75
"TX",2015,11,282,12.25,401950.5
"TX",2015,12,312,58.25,771371.5
"TX",2016,0,3156,78,7681174
"TX",2016,1,120,6,178977
"TX",2016,2,159,20,206637
"TX",2016,3,217,15.25,324983.75
"TX",2016,4,464,55,1551896.5
"TX",2016,5,339,78,2614331.5
"TX",2016,6,375,15.25,592740.5
"TX",2016,7,347,68.75,646989.5
"TX",2016,8,344,18.5,491719.25
"TX",2016,9,221,12.5,290006.75
"TX",2016,10,140,8.75,167452
"TX",2016,11,169,11.25,230799.5
"TX",2016,12,261,18,384640.75
"TX",2017,0,4557,331.25,20131960.75
"TX",2017,1,294,17.5,629734.75
"TX",2017,2,167,22.25,256236.25
"TX",2017,3,254,17,494270
"TX",2017,4,305,93.75,1380331.25
"TX",2017,5,395,96,2470473
"TX",2017,6,426,18,631159
"TX",2017,7,444,29.5,806730
"TX",2017,8,516,331.25,10598028.75
"TX",2017,9,320,26.25,642583.25
"TX",2017,10,274,17.5,524911.5
"TX",2017,11,264,23.5,234612.25
"TX",2017,12,898,28.25,1462890.75
"TX",2018,0,13359,123.5,24498016.75
"TX",2018,1,1281,30,1994714.75
"TX",2018,2,848,123.5,2290786.75
"TX",2018,3,966,45.5,1712387
"TX",2018,4,984,45,1961524.25
"TX",2018,5,1274,43.25,2117646
"TX",2018,6,1285,54.25,2856837
"TX",2018,7,1379,71.5,2445676
"TX",2018,8,1160,29.5,1833395
"TX",2018,9,1169,46.5,2062344.5
"TX",2018,10,1137,29,1799195.75
"TX",2018,11,920,25,1447866
"TX",2018,12,956,49.25,1975643.75
"TX",2019,0,13848,723.75,58177471.75
"TX",2019,1,806,25.25,1057055
"TX",2019,2,698,25.75,916171.25
"TX",2019,3,925,77.5,3492240
"TX",2019,4,1280,54.25,3970699.75
"TX",2019,5,1719,151.5,7590845
"TX",2019,6,1682,723.75,20791362.25
"TX",2019,7,1293,80.5,3173532.75
"TX",2019,8,1277,43,3276467
"TX",2019,9,1150,114.75,3314335
"TX",2019,10,1244,285.25,8119831
"TX",2019,11,967,189.5,1437161.75
"TX",2019,12,807,94.5,1037771
"TX",2020,0,14672,225.25,64128911.75
"TX",2020,1,901,24.25,1854584.25
"TX",2020,2,709,225.25,1076360.75
"TX",2020,3,1083,118.25,1569039.75
"TX",2020,4,1256,136,6542676.75
"TX",2020,5,1785,92.75,5533310.5
"TX",2020,6,1485,42.5,3045046.25
"TX",2020,7,1460,196.5,12093878.5
"TX",2020,8,1486,133.5,17660636.5
"TX",2020,9,1291,85.75,2277282.5
"TX",2020,10,1293,136.5,9476793.5
"TX",2020,11,1002,58.75,1536864.5
"TX",2020,12,921,44,1462438
"TX",2021,0,19923,311.75,277493341.75
"TX",2021,1,1042,174.25,6245534.25
"TX",2021,2,2135,311.75,227923742
"TX",2021,3,1410,30.75,2210508.25
"TX",2021,4,1449,72.25,2664021.25
"TX",2021,5,2140,154.75,7290998.75
"TX",2021,6,2071,77.5,3496218.5
"TX",2021,7,1997,45.75,3065831.25
"TX",2021,8,1805,52,2919725
"TX",2021,9,1480,153.25,12903360.25
"TX",2021,10,1830,69.5,5591095.5
"TX",2021,11,1379,37.75,1759007
"TX",2021,12,1185,24.5,1423299.75
"TX",2022,0,20815,74.25,43463026.75
"TX",2022,1,1349,54.5,2060681.25
"TX",2022,2,1388,72,2761947.25
"TX",2022,3,1623,74.25,3668839.5
"TX",2022,4,1691,48.5,4428624.75
"TX",2022,5,2164,43.25,6231373.75
"TX",2022,6,1979,35,3190631
"TX",2022,7,1966,48,2865764.5
"TX",2022,8,2106,39.5,4610932
"TX",2022,9,1472,57.75,3708826.75
"TX",2022,10,1770,39.5,3622796.5
"TX",2022,11,1622,73,2757119.75
"TX",2022,12,1685,71.25,3555489.75
"TX",2023,0,20451,204.75,99493985
"TX",2023,1,1276,178.75,18878906.25
"TX",2023,2,1435,174.75,11520758.5
"TX",2023,3,1760,58.5,5482648.25
"TX",2023,4,1949,133.25,8724631.5
"TX",2023,5,2275,67.25,5479069.75
"TX",2023,6,2361,204.75,30745323.75
"TX",2023,7,1933,47,2559794.75
"TX",2023,8,1864,53.5,4050869.25
"TX",2023,9,1815,91,6366132.75
"TX",2023,10,1587,60.5,2868580
"TX",2023,11,1137,35,1523432.25
"TX",2023,12,1059,21.5,1293838
