"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"AL",2015,0,338,25,424475
"AL",2015,1,15,3,15911.75
"AL",2015,2,12,6.25,10030
"AL",2015,3,19,25,37367.5
"AL",2015,4,13,5,11394.75
"AL",2015,5,37,6.5,39230
"AL",2015,6,46,4,21364
"AL",2015,7,41,6.25,32558.25
"AL",2015,8,22,6,11754.75
"AL",2015,9,36,6.25,108274.75
"AL",2015,10,14,4.75,11046.5
"AL",2015,11,25,9.75,44009.5
"AL",2015,12,58,7.25,81533.25
"AK",2015,0,30,34,96155
"AK",2015,1,0,0,0
"AK",2015,2,0,0,0
"AK",2015,3,0,0,0
"AK",2015,4,0,0,0
"AK",2015,5,0,0,0
"AK",2015,6,0,0,0
"AK",2015,7,4,15,12833.5
"AK",2015,8,6,2.5,12890
"AK",2015,9,3,2.75,2260.25
"AK",2015,10,2,4.25,3973.5
"AK",2015,11,10,34,40535
"AK",2015,12,5,13.75,23662.75
"AZ",2015,0,334,24,947067.25
"AZ",2015,1,2,7.25,12927.5
"AZ",2015,2,1,0.25,104
"AZ",2015,3,2,4.25,5350.5
"AZ",2015,4,1,1.5,1772.25
"AZ",2015,5,2,1.75,7368
"AZ",2015,6,2,2,2285
"AZ",2015,7,4,1.5,2186.5
"AZ",2015,8,90,21.75,234469.25
"AZ",2015,9,62,24,297691.75
"AZ",2015,10,74,11.75,218645.5
"AZ",2015,11,44,7.75,81195.25
"AZ",2015,12,50,5,83071.75
"AR",2015,0,2164,43.5,4804644
"AR",2015,1,98,10.25,157820.75
"AR",2015,2,141,34,734746
"AR",2015,3,113,20,198131.25
"AR",2015,4,163,15.5,334279.5
"AR",2015,5,328,43.5,1257431.75
"AR",2015,6,252,22,407028.5
"AR",2015,7,235,26.25,380286.5
"AR",2015,8,179,21,283769
"AR",2015,9,110,8.5,140474.5
"AR",2015,10,159,9.75,158932
"AR",2015,11,190,33.25,461975.25
"AR",2015,12,196,16,289769
"CA",2015,0,6103,223.5,35584382
"CA",2015,1,417,75.75,2659373.5
"CA",2015,2,394,120,2437466.25
"CA",2015,3,510,57.25,2448658.75
"CA",2015,4,583,53.5,2113243.25
"CA",2015,5,674,53,2228536
"CA",2015,6,857,67.5,3005435.75
"CA",2015,7,611,80.5,3639863.75
"CA",2015,8,412,174,2918958
"CA",2015,9,431,158,4037636.75
"CA",2015,10,402,223.5,3834203.25
"CA",2015,11,396,211.75,4094659.75
"CA",2015,12,416,58,2166347
"CO",2015,0,1523,77.75,2443098.25
"CO",2015,1,19,4.75,15336
"CO",2015,2,4,2.25,2103.5
"CO",2015,3,17,3.5,18478.25
"CO",2015,4,22,15.25,53664
"CO",2015,5,157,18.75,293336.75
"CO",2015,6,291,15.75,653539.75
"CO",2015,7,241,44.25,206531
"CO",2015,8,197,11,290002
"CO",2015,9,174,9.75,201234
"CO",2015,10,175,77.75,275760.5
"CO",2015,11,142,32.75,331357.25
"CO",2015,12,84,17.75,101755.25
"CT",2015,0,1277,22.75,2974705.75
"CT",2015,1,68,5.5,62250.75
"CT",2015,2,56,6.25,71432
"CT",2015,3,105,14.5,154591.25
"CT",2015,4,97,22.25,200144.75
"CT",2015,5,12,2,9021
"CT",2015,6,193,22.75,1565871.5
"CT",2015,7,208,12.75,305197.5
"CT",2015,8,184,11.25,297743.5
"CT",2015,9,82,15.75,74076.75
"CT",2015,10,103,10.5,103753
"CT",2015,11,94,11,71390.75
"CT",2015,12,75,5.75,59233
"DE",2015,0,431,22.75,1387376.5
"DE",2015,1,28,5.75,78883.5
"DE",2015,2,33,9.5,96161.5
"DE",2015,3,27,7.5,49913
"DE",2015,4,26,3.75,51874
"DE",2015,5,29,3,27172.5
"DE",2015,6,50,22.75,652536.25
"DE",2015,7,42,15.5,89600.25
"DE",2015,8,40,4.5,42132.25
"DE",2015,9,40,10.25,46404
"DE",2015,10,54,16.25,167604.25
"DE",2015,11,26,6.5,29781.75
"DE",2015,12,36,5.75,55313.25
NA,2015,0,340,25.75,687129.25
NA,2015,1,24,7,84478.75
NA,2015,2,28,25.75,166710.25
NA,2015,3,30,16,37102.5
NA,2015,4,20,14.5,40757.25
NA,2015,5,26,7,22883
NA,2015,6,47,14.75,74401
NA,2015,7,46,13.25,135844
NA,2015,8,30,6.25,34575.75
NA,2015,9,26,5,27826
NA,2015,10,23,10.25,19863.25
NA,2015,11,11,6.75,13000
NA,2015,12,29,7.75,29687.5
"FL",2015,0,10813,76.75,12913906.75
"FL",2015,1,594,11.5,670728.25
"FL",2015,2,630,15.5,841079
"FL",2015,3,627,23.25,655384.75
"FL",2015,4,957,13.5,1133988
"FL",2015,5,916,12.75,847227.5
"FL",2015,6,1405,23.25,1864473.25
"FL",2015,7,1342,22.25,1815968.75
"FL",2015,8,1287,76.75,1751143.75
"FL",2015,9,1070,29,1302260
"FL",2015,10,737,19.25,708989
"FL",2015,11,656,12.5,622452.5
"FL",2015,12,592,20,700212
"GA",2015,0,3763,44.5,7630915.5
"GA",2015,1,165,13,128705.25
"GA",2015,2,281,44.5,2890909
"GA",2015,3,159,9.75,109233.75
"GA",2015,4,307,17,516962.5
"GA",2015,5,279,10,298837.5
"GA",2015,6,461,13,535201
"GA",2015,7,481,26.75,697214.75
