event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,min_customers,max_customers,mean_customers
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-22 19:15:00,0.25,259.0,259.0,259.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-22 20:00:00,3.5,213.0,1175.0,387.3571428571428
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-23 02:00:00,0.25,269.0,269.0,269.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1001,Alabama,Autauga,2017-01-23 03:15:00,0.25,254.0,254.0,254.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1003,Alabama,Baldwin,2017-01-22 17:30:00,0.5,1116.0,1169.0,1142.5
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1013,Alabama,Butler,2017-01-22 18:15:00,7.25,214.0,1262.0,455.7931034482759
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1035,Alabama,Conecuh,2017-01-22 18:45:00,0.25,204.0,204.0,204.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1037,Alabama,Coosa,2017-01-22 20:00:00,4.0,273.0,1067.0,569.375
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1047,Alabama,Dallas,2017-01-22 18:30:00,1.25,344.0,420.0,386.4
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1047,Alabama,Dallas,2017-01-22 20:00:00,4.0,894.0,1034.0,937.8125
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1051,Alabama,Elmore,2017-01-22 19:15:00,7.0,295.0,3149.0,952.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1085,Alabama,Lowndes,2017-01-22 19:00:00,4.5,242.0,572.0,414.27777777777777
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1085,Alabama,Lowndes,2017-01-22 23:45:00,0.5,228.0,228.0,228.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1085,Alabama,Lowndes,2017-01-23 00:30:00,0.5,215.0,229.0,222.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1089,Alabama,Madison,2017-01-22 16:30:00,2.0,787.0,1401.0,1063.875
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1099,Alabama,Monroe,2017-01-22 18:30:00,0.25,266.0,266.0,266.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1099,Alabama,Monroe,2017-01-22 19:00:00,0.5,316.0,334.0,325.0
Alabama-0,Alabama,2017-01-22 16:00:00,2017-01-23 03:26:00,Severe Weather,1131,Alabama,Wilcox,2017-01-22 19:15:00,5.75,203.0,379.0,333.6521739130435
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1001,Alabama,Autauga,2017-04-03 12:30:00,2.0,741.0,3033.0,2387.0
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1003,Alabama,Baldwin,2017-04-03 12:15:00,6.25,273.0,1756.0,450.72
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1011,Alabama,Bullock,2017-04-03 15:00:00,1.75,448.0,548.0,475.8571428571428
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1011,Alabama,Bullock,2017-04-03 17:00:00,0.5,200.0,244.0,222.0
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1013,Alabama,Butler,2017-04-03 13:30:00,4.5,272.0,1010.0,738.2777777777778
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1031,Alabama,Coffee,2017-04-03 15:15:00,0.75,326.0,353.0,336.0
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1039,Alabama,Covington,2017-04-03 14:00:00,6.0,221.0,1383.0,780.9583333333334
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1041,Alabama,Crenshaw,2017-04-03 14:00:00,10.75,222.0,1147.0,680.0
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1047,Alabama,Dallas,2017-04-03 12:15:00,4.25,222.0,582.0,463.11764705882354
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1047,Alabama,Dallas,2017-04-03 18:30:00,5.5,373.0,549.0,495.1363636363636
Alabama-1,Alabama,2017-04-03 11:00:00,2017-04-03 20:00:00,Severe Weather,1109,Alabama,Pike,2017-04-03 14:30:00,7.0,338.0,1231.0,614.9285714285714
Alabama-2,Alabama,2017-05-04 05:00:00,2017-05-04 22:00:00,Severe Weather,1003,Alabama,Baldwin,2017-05-04 06:15:00,0.75,537.0,552.0,547.0
Alabama-2,Alabama,2017-05-04 05:00:00,2017-05-04 22:00:00,Severe Weather,1003,Alabama,Baldwin,2017-05-04 12:15:00,0.5,207.0,249.0,228.0
